"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","306","Пользователь может создать новую компанию","chromium","Sat Dec 21 09:51:48 GMT 2024","passed","Sat Dec 21 09:51:48 GMT 2024","API тесты","api.spec.js","",""
"","270","Пользователь не может зарегистрироваться в системе без Password","chromium","Sat Dec 21 09:51:48 GMT 2024","passed","Sat Dec 21 09:51:48 GMT 2024","API тесты","api.spec.js","",""
"","2254","Тест на поиск","chromium","Sat Dec 21 09:51:48 GMT 2024","passed","Sat Dec 21 09:51:50 GMT 2024","E2E тесты","e2e.spec.js","",""
"","1151","Пользователь может зарегистрироваться в системе заполнив обязательные поля","chromium","Sat Dec 21 09:51:46 GMT 2024","passed","Sat Dec 21 09:51:47 GMT 2024","API тесты","api.spec.js","",""
"","259","Пользователь не может зарегистрироваться в системе без Email","chromium","Sat Dec 21 09:51:47 GMT 2024","passed","Sat Dec 21 09:51:47 GMT 2024","API тесты","api.spec.js","",""
"","4838","Тест на регистрацию","chromium","Sat Dec 21 09:51:52 GMT 2024","passed","Sat Dec 21 09:51:57 GMT 2024","E2E тесты","e2e.spec.js","",""
"","2383","Нельзя залогиниться незарегистрированным пользователем","chromium","Sat Dec 21 09:52:04 GMT 2024","passed","Sat Dec 21 09:52:06 GMT 2024","E2E тесты","e2e.spec.js","",""
"","234","Пользователь не может зарегистрироваться в системе без Name","chromium","Sat Dec 21 09:51:47 GMT 2024","passed","Sat Dec 21 09:51:48 GMT 2024","API тесты","api.spec.js","",""
"","3887","Тест на логаут","chromium","Sat Dec 21 09:52:00 GMT 2024","passed","Sat Dec 21 09:52:04 GMT 2024","E2E тесты","e2e.spec.js","",""
"","3104","Тест на авторизацию","chromium","Sat Dec 21 09:51:57 GMT 2024","passed","Sat Dec 21 09:52:00 GMT 2024","E2E тесты","e2e.spec.js","",""
